endpoint,endpoint_kind,target_host,target_port,resolved_ip,handshake_ok,failure,error_detail,rtt_ms,block_no,slots_behind_tip,at_tip,checked_at
dns:010011.dyndns.org,dns,010011.dyndns.org,5353,5.31.49.179,t,,,219.21,13865111,-4,t,2026-08-28 00:42:01+00
dns:010011.dyndns.org,dns,010011.dyndns.org,5354,5.31.49.179,t,,,218.22,13865111,-4,t,2026-08-28 00:42:01+00
dns:01-cardano-ada.dlinodes.com,dns,01-cardano-ada.dlinodes.com,3000,,f,refused,Connection refused,,,,f,2026-08-28 00:59:32+00
dns:01efcbcf.cardano-relay.bison.run,dns,01efcbcf.cardano-relay.bison.run,1338,98.94.52.17,t,,,21.43,13865111,-4,t,2026-08-28 00:42:01+00
dns:02-cardano-ada.dlinodes.com,dns,02-cardano-ada.dlinodes.com,3000,,f,refused,Connection refused,,,,f,2026-08-28 00:59:32+00
dns:07f6ea55.cardano-relay.herd.run,dns,07f6ea55.cardano-relay.herd.run,1338,34.141.135.125,t,,,100.45,13865111,-4,t,2026-08-28 00:42:01+00
dns:0b2a2fd4.cardano-relay.bison.run,dns,0b2a2fd4.cardano-relay.bison.run,1338,13.196.166.92,t,,,142.53,13865111,-4,t,2026-08-28 00:42:01+00
dns:101.cardano.staked.cloud,dns,101.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:102.cardano.staked.cloud,dns,102.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:103.cardano.staked.cloud,dns,103.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:104.248.117.19,dns,104.248.117.19,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:104.cardano.staked.cloud,dns,104.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:105.cardano.staked.cloud,dns,105.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:106.cardano.staked.cloud,dns,106.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:107.155.124.170,dns,107.155.124.170,3001,107.155.124.170,t,,,66.6,13865111,-4,t,2026-08-28 00:42:01+00
dns:107.cardano.staked.cloud,dns,107.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:108.cardano.staked.cloud,dns,108.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:109.cardano.staked.cloud,dns,109.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:110.cardano.staked.cloud,dns,110.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:111.111.111.11,dns,111.111.111.11,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:111.cardano.staked.cloud,dns,111.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:112-116-180-17.hinet-ip.hinet.net,dns,112-116-180-17.hinet-ip.hinet.net,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:112.cardano.staked.cloud,dns,112.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:113.cardano.staked.cloud,dns,113.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:114.cardano.staked.cloud,dns,114.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:115.cardano.staked.cloud,dns,115.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:116.203.215.60,dns,116.203.215.60,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:116.cardano.staked.cloud,dns,116.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:117.cardano.staked.cloud,dns,117.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:118.cardano.staked.cloud,dns,118.cardano.staked.cloud,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:11.relays.happystaking.io,dns,11.relays.happystaking.io,3001,104.167.218.211,t,,,28.51,13865111,-4,t,2026-08-28 00:42:01+00
dns:129.151.171.173,dns,129.151.171.173,6000,129.151.171.173,t,,,246.99,13865111,-4,t,2026-08-28 00:42:01+00
dns:12.relays.happystaking.io,dns,12.relays.happystaking.io,3001,192.165.9.197,t,,,131.78,13865111,-4,t,2026-08-28 00:42:01+00
dns:13.228.138.232,dns,13.228.138.232,6000,13.228.138.232,t,,,219.91,13865111,-4,t,2026-08-28 00:42:01+00
dns:1339aecb.cardano-relay.herd.run,dns,1339aecb.cardano-relay.herd.run,1338,34.32.191.207,t,,,98.52,13865111,-4,t,2026-08-28 00:42:01+00
dns:134.209.172.196,dns,134.209.172.196,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:134.209.41.1,dns,134.209.41.1,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:135.181.28.81,dns,135.181.28.81,6001,135.181.28.81,t,,,158.29,13865111,-4,t,2026-08-28 00:42:01+00
dns:13.58.216.102,dns,13.58.216.102,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 00:59:32+00
dns:140.227.127.123,dns,140.227.127.123,3001,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:00:12+00
dns:142.93.233.165,dns,142.93.233.165,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:143.198.164.54,dns,143.198.164.54,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:143.198.42.252,dns,143.198.42.252,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:144.76.34.167,dns,144.76.34.167,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:144.91.86.63,dns,144.91.86.63,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:144.91.94.145,dns,144.91.94.145,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:147.182.132.53,dns,147.182.132.53,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:15.237.92.158,dns,15.237.92.158,16661,15.237.92.158,t,,,97.7,13865111,-4,t,2026-08-28 00:42:07+00
dns:154.53.57.134,dns,154.53.57.134,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:155.138.131.159,dns,155.138.131.159,6000,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:00:12+00
dns:157.173.117.175,dns,157.173.117.175,6000,157.173.117.175,t,,,114.5,13865111,-4,t,2026-08-28 00:42:07+00
dns:157.180.2.177,dns,157.180.2.177,6000,157.180.2.177,t,,,156.13,13865111,-4,t,2026-08-28 00:42:07+00
dns:157.230.214.95,dns,157.230.214.95,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:159.203.11.138,dns,159.203.11.138,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:159.203.87.35.https://writecardano.com,dns,159.203.87.35.https://writecardano.com,6000,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:07+00
dns:160.16.117.26,dns,160.16.117.26,3002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:161.35.188.157,dns,161.35.188.157,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:161.97.198.20,dns,161.97.198.20,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:164.90.146.62,dns,164.90.146.62,3001,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:165.232.157.163.https://writecardano.com,dns,165.232.157.163.https://writecardano.com,6000,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:07+00
dns:167.114.157.136,dns,167.114.157.136,6000,167.114.157.136,t,,,28.27,13865111,-4,t,2026-08-28 00:42:07+00
dns:167.172.1.22,dns,167.172.1.22,9201,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:167.172.1.22,dns,167.172.1.22,9202,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:167.71.238.58,dns,167.71.238.58,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:170.23.181.50,dns,170.23.181.50,6001,170.23.181.50,t,,,1227.69,13865111,-4,t,2026-08-28 00:42:12+00
dns:170.23.181.50,dns,170.23.181.50,6002,170.23.181.50,t,,,482.65,13865111,-4,t,2026-08-28 00:42:12+00
dns:170.23.181.50,dns,170.23.181.50,6003,170.23.181.50,t,,,439.34,13865111,-4,t,2026-08-28 00:42:12+00
dns:172.16.131.230,dns,172.16.131.230,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:173.249.41.79,dns,173.249.41.79,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:00:12+00
dns:174.138.51.10,dns,174.138.51.10,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:178.79.160.36,dns,178.79.160.36,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:18.168.116.51,dns,18.168.116.51,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:18.191.107.238,dns,18.191.107.238,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:18.202.13.72,dns,18.202.13.72,6000,18.202.13.72,t,,,104.37,13865112,-21,t,2026-08-28 00:42:21+00
dns:18.219.227.8,dns,18.219.227.8,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:18.224.33.24,dns,18.224.33.24,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:185.170.113.139,dns,185.170.113.139,6001,185.170.113.139,t,,,114.0,13865112,-21,t,2026-08-28 00:42:21+00
dns:185.207.250.21,dns,185.207.250.21,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:185.63.148.67,dns,185.63.148.67,6002,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:185.63.148.67,dns,185.63.148.67,6003,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:12+00
dns:192.168.1.140,dns,192.168.1.140,3001,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:00:12+00
dns:192.168.1.99,dns,192.168.1.99,6000,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:00:12+00
dns:192.168.235.128,dns,192.168.235.128,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:15+00
dns:194.163.150.58,dns,194.163.150.58,8281,194.163.150.58,t,,,105.95,13865112,-21,t,2026-08-28 00:42:21+00
dns:194.163.156.209,dns,194.163.156.209,8281,194.163.156.209,t,,,108.87,13865112,-21,t,2026-08-28 00:42:21+00
dns:194.242.57.239,dns,194.242.57.239,6000,194.242.57.239,t,,,119.57,13865112,-21,t,2026-08-28 00:42:21+00
dns:198.7.120.7,dns,198.7.120.7,6000,198.7.120.7,t,,,121.13,13865112,-21,t,2026-08-28 00:42:21+00
dns:1e5c4061.cardano-relay.bison.run,dns,1e5c4061.cardano-relay.bison.run,1338,3.249.111.184,t,,,109.6,13865112,-21,t,2026-08-28 00:42:21+00
dns:1f018fdb.cardano-relay.bison.run,dns,1f018fdb.cardano-relay.bison.run,1338,34.245.27.41,t,,,104.78,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.node.bedrockstaking.com,dns,1.node.bedrockstaking.com,6000,50.126.134.41,t,,,67.47,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24833,13.237.241.94,t,,,251.41,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24833,3.104.60.151,t,,,252.03,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24833,3.104.88.150,t,,,251.68,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24833,54.206.205.42,t,,,243.15,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24833,54.66.131.142,t,,,251.5,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24843,3.104.88.150,t,,,240.02,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24843,13.237.241.94,t,,,251.62,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24843,3.104.60.151,t,,,252.66,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24843,54.206.205.42,t,,,251.88,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.au.ngrok.io,dns,1.tcp.au.ngrok.io,24843,54.66.131.142,t,,,252.46,13865112,-21,t,2026-08-28 00:42:21+00
dns:1.tcp.jp.ngrok.io,dns,1.tcp.jp.ngrok.io,20156,,f,refused,Connection refused,,,,f,2026-08-28 01:00:18+00
dns:20.106.134.154,dns,20.106.134.154,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:18+00
dns:20.199.183.17,dns,20.199.183.17,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:22+00
dns:20.203.153.163,dns,20.203.153.163,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:203.161.61.209,dns,203.161.61.209,3001,203.161.61.209,t,,,304.42,13865112,-21,t,2026-08-28 00:42:22+00
dns:206.189.142.247,dns,206.189.142.247,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:217.113.193.168,dns,217.113.193.168,6000,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:00:52+00
dns:219.88.235.176,dns,219.88.235.176,6000,219.88.235.176,t,,,186.22,13865112,-21,t,2026-08-28 00:42:25+00
dns:219.88.235.176,dns,219.88.235.176,6020,219.88.235.176,t,,,192.66,13865112,-21,t,2026-08-28 00:42:26+00
dns:219.88.235.176,dns,219.88.235.176,6030,219.88.235.176,t,,,212.61,13865112,-21,t,2026-08-28 00:42:26+00
dns:221.149.186.30,dns,221.149.186.30,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:2.236.97.127,dns,2.236.97.127,6500,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:26e894b1.cardano-relay.herd.run,dns,26e894b1.cardano-relay.herd.run,1338,34.6.199.222,t,,,99.21,13865112,-21,t,2026-08-28 00:42:27+00
dns:2.node.bedrockstaking.com,dns,2.node.bedrockstaking.com,6001,50.126.134.41,t,,,69.07,13865112,-21,t,2026-08-28 00:42:27+00
dns:3.127.171.82,dns,3.127.171.82,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:3.17.160.76,dns,3.17.160.76,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.121.120.186,dns,34.121.120.186,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.134.9.23,dns,34.134.9.23,3001,34.134.9.23,t,,,22.88,13865112,-21,t,2026-08-28 00:42:27+00
dns:34.203.164.209,dns,34.203.164.209,6000,34.203.164.209,t,,,23.37,13865112,-21,t,2026-08-28 00:42:27+00
dns:34.64.103.19,dns,34.64.103.19,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.66.150.92,dns,34.66.150.92,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.68.173.128,dns,34.68.173.128,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.74.56.150,dns,34.74.56.150,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:34.90.97.249,dns,34.90.97.249,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.174.203.221,dns,35.174.203.221,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.198.187.121,dns,35.198.187.121,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.208.201.183,dns,35.208.201.183,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.224.210.85,dns,35.224.210.85,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.228.212.14,dns,35.228.212.14,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.237.113.86,dns,35.237.113.86,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.243.158.137,dns,35.243.158.137,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:35.76.186.4,dns,35.76.186.4,6000,35.76.186.4,t,,,144.22,13865112,-21,t,2026-08-28 00:42:32+00
dns:35.82.98.37,dns,35.82.98.37,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:3.73.238.193,dns,3.73.238.193,6000,3.73.238.193,t,,,106.25,13865112,-21,t,2026-08-28 00:42:32+00
dns:38.242.198.228,dns,38.242.198.228,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:3b92579e.cardano-relay.bison.run,dns,3b92579e.cardano-relay.bison.run,1338,57.180.60.2,t,,,153.91,13865112,-21,t,2026-08-28 00:42:32+00
dns:3c84d80f.cardano-relay.bison.run,dns,3c84d80f.cardano-relay.bison.run,1338,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:36+00
dns:3ef2283d.cardano-relay.bison.run,dns,3ef2283d.cardano-relay.bison.run,1338,54.95.15.57,t,,,140.29,13865113,-38,t,2026-08-28 00:42:36+00
dns:420-relays.spaas.info,dns,420-relays.spaas.info,3001,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:36+00
dns:43.204.244.63,dns,43.204.244.63,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:52+00
dns:44.194.169.48,dns,44.194.169.48,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:55+00
dns:45.145.149.133,dns,45.145.149.133,3001,45.145.149.133,t,,,97.52,13865113,-38,t,2026-08-28 00:42:37+00
dns:46.224.215.60,dns,46.224.215.60,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:00:58+00
dns:46.250.239.144,dns,46.250.239.144,6000,46.250.239.144,t,,,223.09,13865113,-38,t,2026-08-28 00:42:38+00
dns:47.100.167.150,dns,47.100.167.150,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:02+00
dns:47.178.1.162,dns,47.178.1.162,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:47.241.248.83,dns,47.241.248.83,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:49.0.82.230,dns,49.0.82.230,6000,49.0.82.230,t,,,251.79,13865113,-38,t,2026-08-28 00:42:41+00
dns:50.19.107.25,dns,50.19.107.25,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:50809bee.cardano-relay.herd.run,dns,50809bee.cardano-relay.herd.run,1338,35.204.244.162,t,,,99.44,13865113,-38,t,2026-08-28 00:42:41+00
dns:51.171.77.58,dns,51.171.77.58,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:51.195.18.14,dns,51.195.18.14,6000,51.195.18.14,t,,,128.35,13865113,-38,t,2026-08-28 00:42:41+00
dns:51.20.195.35,dns,51.20.195.35,6000,51.20.195.35,t,,,121.76,13865113,-38,t,2026-08-28 00:42:41+00
dns:51.210.255.93,dns,51.210.255.93,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:51.81.84.43,dns,51.81.84.43,6000,,f,refused,Connection refused,,,,f,2026-08-28 01:01:32+00
dns:52.213.134.153,dns,52.213.134.153,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:52.236.141.40,dns,52.236.141.40,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:52.23.6.155,dns,52.23.6.155,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:53e378bf.cardano-relay.bison.run,dns,53e378bf.cardano-relay.bison.run,1338,18.201.159.186,t,,,103.98,13865113,-38,t,2026-08-28 00:42:41+00
dns:54.80.158.254,dns,54.80.158.254,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:5.9.50.142,dns,5.9.50.142,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:5hare-pool-relay.5pecia1.dev,dns,5hare-pool-relay.5pecia1.dev,3001,,f,refused,Connection refused,,,,f,2026-08-28 01:01:32+00
dns:5hare-pool-relay.5pecia1.dev,dns,5hare-pool-relay.5pecia1.dev,3002,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:01:32+00
dns:61.73.77.7,dns,61.73.77.7,6000,,f,no_route,Host is unreachable,,,,f,2026-08-28 01:01:32+00
dns:63.250.56.134,dns,63.250.56.134,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:6398a55d.cardano-relay.herd.run,dns,6398a55d.cardano-relay.herd.run,1338,34.178.66.73,t,,,98.35,13865113,-38,t,2026-08-28 00:42:47+00
dns:64.140.118.166,dns,64.140.118.166,5554,64.140.118.166,t,,,23.26,13865113,-38,t,2026-08-28 00:42:47+00
dns:64.227.2.182,dns,64.227.2.182,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:644dd09c.cardano-relay.herd.run,dns,644dd09c.cardano-relay.herd.run,1338,34.12.67.147,t,,,99.55,13865113,-38,t,2026-08-28 00:42:47+00
dns:65.21.155.167,dns,65.21.155.167,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:661d4047.cardano-relay.bison.run,dns,661d4047.cardano-relay.bison.run,1338,54.247.36.6,t,,,103.69,13865113,-38,t,2026-08-28 00:42:47+00
dns:66.219.5.15,dns,66.219.5.15,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:67.183.102.159,dns,67.183.102.159,6001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:67680868.cardano-relay.herd.run,dns,67680868.cardano-relay.herd.run,1338,34.158.85.16,t,,,99.04,13865113,-38,t,2026-08-28 00:42:47+00
dns:72.180.251.213,dns,72.180.251.213,6000,,f,error,"Command failed: Error: (AddrInfo {addrFlags = [], addrFamily = AF_INET, addrSocketType = Stream, addrProtocol = 6, addrAddress = 72.180.251.213:6000, addrCanonN",,,,f,2026-08-28 01:01:32+00
dns:72e508af.cardano-relay.herd.run,dns,72e508af.cardano-relay.herd.run,1338,34.91.209.42,t,,,99.72,13865113,-38,t,2026-08-28 00:42:47+00
dns:76cf1dd1.cardano-relay.bison.run,dns,76cf1dd1.cardano-relay.bison.run,1338,34.252.180.141,t,,,103.08,13865113,-38,t,2026-08-28 00:42:47+00
dns:77.68.87.67,dns,77.68.87.67,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:778cb679.cardano-relay.bison.run,dns,778cb679.cardano-relay.bison.run,1338,3.250.222.223,t,,,104.64,13865113,-38,t,2026-08-28 00:42:47+00
dns:77cb3f75.cardano-relay.herd.run,dns,77cb3f75.cardano-relay.herd.run,1338,34.178.61.25,t,,,99.35,13865113,-38,t,2026-08-28 00:42:47+00
dns:78.47.60.52,dns,78.47.60.52,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:7ddb9c28.cardano-relay.bison.run,dns,7ddb9c28.cardano-relay.bison.run,1338,3.113.18.156,t,,,141.81,13865113,-38,t,2026-08-28 00:42:47+00
dns:81.169.151.94,dns,81.169.151.94,6008,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:82.165.30.133,dns,82.165.30.133,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:32+00
dns:84.192.255.224,dns,84.192.255.224,3001,84.192.255.224,t,,,114.57,13695758,3466699,f,2026-08-28 00:42:48+00
dns:8.42.76.9,dns,8.42.76.9,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:33+00
dns:84cbba68.cardano-relay.herd.run,dns,84cbba68.cardano-relay.herd.run,1338,34.178.207.105,t,,,100.57,13865113,-38,t,2026-08-28 00:42:50+00
dns:85.215.84.222,dns,85.215.84.222,6008,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:35+00
dns:86.61.72.219,dns,86.61.72.219,3001,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:35+00
dns:87.98.245.66,dns,87.98.245.66,6000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:37+00
dns:8.8.8.8@chance.tel,dns,8.8.8.8@chance.tel,6000,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:52+00
dns:89.217.176.121,dns,89.217.176.121,30018,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:38+00
dns:89.217.176.121,dns,89.217.176.121,30021,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:01:42+00
dns:89.217.176.121,dns,89.217.176.121,30022,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:02:12+00
dns:89.217.176.121,dns,89.217.176.121,30023,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:02:12+00
dns:89.250.73.21,dns,89.250.73.21,6000,89.250.73.21,t,,,108.6,13865113,-38,t,2026-08-28 00:42:52+00
dns:89.45.201.78,dns,89.45.201.78,3000,,f,timeout,no response within the probe timeout,,,,f,2026-08-28 01:02:12+00
dns:8d6f8de4.cardano-relay.herd.run,dns,8d6f8de4.cardano-relay.herd.run,1338,35.204.170.62,t,,,98.73,13865113,-38,t,2026-08-28 00:42:52+00
dns:8f36596.online-server.cloud,dns,8f36596.online-server.cloud,6000,,f,dns_fail,name did not resolve,,,,f,2026-08-28 00:42:52+00
dns:8.tcp.eu.ngrok.io,dns,8.tcp.eu.ngrok.io,24241,3.77.161.152,t,,,144.13,13865113,-38,t,2026-08-28 00:42:52+00
dns:8.tcp.eu.ngrok.io,dns,8.tcp.eu.ngrok.io,24241,3.74.121.88,t,,,144.63,13865113,-38,t,2026-08-28 00:42:52+00
dns:8.tcp.eu.ngrok.io,dns,8.tcp.eu.ngrok.io,24241,3.124.154.255,t,,,144.53,13865113,-38,t,2026-08-28 00:42:52+00
dns:8.tcp.eu.ngrok.io,dns,8.tcp.eu.ngrok.io,24241,3.79.221.78,t,,,144.58,13865113,-38,t,2026-08-28 00:42:52+00
