source_tip_block,source_tip_epoch,source_tip_time_utc,seed_label,seed_tx_hash,depth,hop_tx_hash,hop_time_utc,dominant_input_lovelace,source_type,dominant_source,source_label,method_note
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,12,503d81b197eceff31eae36721b7b06088c0099b8674ee3c1a2850678350c904b,2020-08-08 13:21:31,264532560118958,stake_address,stake1u8dmqlfv95cyr9u7gskm03cw4s7vm06jq0kctse4klk4fycpm5q4j,IOG1 chain-holder stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,13,f2837dd2edc4cb8a9d61d72d24ea23ec90d57dd4cc07ad1e142e0a6d0514785a,2020-08-08 12:54:11,264532660296972,stake_address,stake1u8dmqlfv95cyr9u7gskm03cw4s7vm06jq0kctse4klk4fycpm5q4j,IOG1 chain-holder stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,14,9465e8662c4f4eef61b719989244c17f7ef1d83e6195d5dc26cda4ee05ac1e1b,2020-08-08 12:08:51,373192272674986,stake_address,stake1u8dmqlfv95cyr9u7gskm03cw4s7vm06jq0kctse4klk4fycpm5q4j,IOG1 chain-holder stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,15,3e1f3dcd87a7dc3236d247aee2388e5affc501ab3cf34b77f11c25b36d02261c,2020-02-20 23:32:31,373192372853000,address,Ae2tdPwUPEZ34KPqBxpsa3EkcqyH5gJUk62GcrvCCLPuwc4Q5KixcRHDRzL,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,16,23d6ab0ee85004a7328bdb200ae62c905f55e3c2f21b1d0109e18001f35ff51c,2020-02-20 23:31:31,614658191511179,address,DdzFFzCqrhstPePbe8LC1XLkTGYSpBDJyHAJ5PuRgEcshvmG1CrAizB69mSRXBvK2BtFcCuBqrobzSXqpxzTkRWLFyvZpTJL7YQ8hZ58,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,17,42555801df43afc300b210370967ea40de6826a2f0b1a3dd817f2448c8f7afc5,2020-02-20 23:30:31,1514658191632461,address,DdzFFzCqrht9LStDVFdrn2SiudEDDrXDPprYZz8WfbrTmu3cko745FJSSNxwrDTa8QTWTLdpFaAhweB4Uz13ev22eNhrNDCrVXZVQT6w,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,18,1e2290638406c1713b7bf211d7211407651b2279433a3d85c005624b411429e9,2017-12-08 17:11:51,2414658107730384,address,DdzFFzCqrht2WKNEFqHvMSumSQpcnMxcYLNNBXPYXyHpRk9M7PqVjZ5ysYzutnruNubzXak2NxT8UWTFQNzc77uzjQ1GtehBRBdAv7xb,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,19,a7bc5df50f26fae858d9d8b6fcb5d831c88cae3cc7f10fd78ce31a8505ffaa29,2017-12-01 09:31:11,2436992472571630,address,DdzFFzCqrhsecV6grDueeDk4pM6jxwjq2YtTof7r4TBwNdFmbBd5NJ42XWifSDPhSXdfEomShABDnAjpPnv5Sa9CHbf9U9P5p8x4gzdr,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,20,e1e5d9f75ff4892635d460d5bf1c27cb5f92406cda9d664ce18d23600f33b40e,2017-11-30 16:47:11,2437839830742876,address,DdzFFzCqrht9mrPZi5BXeWcMxypLBm9ADRyh47pvkg8VNCGjr5drXiyJZxonNEhrUbZkfbrD3fivYS4x1kwom6EVy8skDh7GgwDrE9tW,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,21,6fc415ff094ba2b6befdec4ed3f8126f18912d51bae67fd5fe09be73be5013de,2017-11-10 14:09:11,2437839930913946,address,DdzFFzCqrhshT1zPHwWLrBhCgawnPZ7DGKYDKp6pwN4MHqtV4KCCCeWBc44k3Q7jvuzY3UL36Zhp6xUEYxthMPV69Ge3QDDF6Xaf8oxB,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,22,9cc04ce112b0297dfc2f2023f007613f613989ee449d29cdc83f48539e5fcd58,2017-10-19 13:59:51,2438839931085192,address,DdzFFzCqrhsnhac5fv3dE6bT2KcqpdWMjBd57etEzYgVKwwoDGWRrBiqVMcvqMuxLL526N3KEbKAoFXVRJaMpwZCj7DE3nn1SJLYooCF,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,23,67e31d02721d2fb645ebd69f2b6a501b8a233e08d4650d25a6674b2e80e9c936,2017-10-18 13:43:31,2443070700486438,address,DdzFFzCqrhsnRxkcmJ1ukkN26iefboWFwKLx95G2bW92mutMGqibYJNYuNgbGppCC32tfqWMa8XpWev9jVXoNUQEQPmcDeRh28UJBXvC,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,24,6577774b38fec7d3d6e98a7a04ced53cb5c79f64ae7b35a3dda045c812c69d19,2017-10-18 13:35:51,2453070700657684,address,DdzFFzCqrhsrbtzv9G1qXfGq5mKVeF6AWg2TcuS3qjfLyhHgVATsP3PeocKqkraN6VwbZrNvN2iHeCd8iESanCP8FQS6BnyaThGjLNEc,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,25,0d94ce298776bd6bf220084d7af093b2d403668a45f55a9c813b2efd0ffd1e10,2017-09-27 16:29:51,2463070700828930,address,DdzFFzCqrht3wEZNURs9U5Qp7HnLoi9Cpao2YzThm88CqvLuP9uTmGzpwQc2e9VSUNGPhR7pAz3g9TtnBx3YoiiJ712Va3dBZNTXkTYT,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,26,fa2d2a70c0b5fd45cb6c3989f02813061f9d27f15f30ecddd38780c59f413c62,2017-09-27 16:20:51,2463071701000000,address,DdzFFzCqrhsytyf2oUxqFNXDX9MfAFBWk9pTBXViZbSwxEi7PYcq9LSjBDcW6BVcA7KxgeixYWospQKn68P9PaviM2FvhTFvsEezT8qg,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_1,bd32485b5035d337e8ba5bcce02024a64c2062e9ce9c5f81be22e62a3da8987b,27,0ae3da29711600e94a33fb7441d2e76876a9a1e98b5ebdefbf2e3bc535617616,2017-09-23 21:44:51,2463071701000000,address,Ae2tdPwUPEZKQuZh2UndEoTKEakMYHGNjJVYmNZgJk2qqgHouxDsA5oT83n,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,0,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,2023-11-20 19:17:14,,address,,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,1,ae16ad6b8035568f4dc386d157384e33a2052cff12452502c5c5c3a73d968c72,2023-08-04 15:09:45,1793844822538,stake_address,stake1u8nynuagsfkjfsjfhm57dnyzfae8e5szh4rfdxjk2drt53qwhz039,voucher 28M funder,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,2,d3f920e3ddb902571aabe3c9322780ee8b80154e53fa0057e107eed2d8e8bb94,2023-08-04 15:06:19,1793844990005,stake_address,stake1ux9vw6azy95waz9l3e8dme7pwmhcn68f77kqd245uxw57nqr9upaa,IOG19-ticker pledge stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,3,bd36b8bf58e7d1d6e3bdbec87ba4cf7ca6ed8ee17e9b53bc5509a653e6947ffb,2021-02-04 04:06:31,5000000,stake_address,stake1ux9vw6azy95waz9l3e8dme7pwmhcn68f77kqd245uxw57nqr9upaa,IOG19-ticker pledge stake,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,4,a7ff54ef7eee5ccd2cc314b70808857f783b429d57f572c50b52d2808ce36c72,2021-02-04 03:46:25,328589356000,stake_address,stake1u98tv34cduv0dapxv6z0xlau7sp8ceg8glwy2fu2kzlcersf0nuh3,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,5,58a1500576537e01f9eeb40df86d95e8c6ec4d50c171097a1d39d8dd97d956b9,2021-02-04 03:26:05,328589536000,stake_address,stake1u8nqyy9kt5djkx5qw7vj9lxtgqs32tnnc5yamuk2kt8r3qs0vusmw,,largest-input path; not exclusive provenance
13520244,635,2026-06-07 18:44:37,voucher_funding_2,8d9d406cefb7831cc85933b23baf7179b884907d86f480134771d7e737957b4d,6,dafe0dc9929be9f1e632835ea8d61689d8eb5a9ae45880c52f6d6469bac0ba9e,2020-12-11 21:24:45,64328587396000,stake_address,stake1u8nqyy9kt5djkx5qw7vj9lxtgqs32tnnc5yamuk2kt8r3qs0vusmw,,largest-input path; not exclusive provenance
