endpoint,endpoint_kind,pools,stake_ada,delegators,tickers,pool_bech32s
dns:relays-new.cardano-mainnet.iohk.io,dns,33,35202,60,REIT IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP IOGP,pool1vp5fev56urx924nyxj5qjvzcsh76e47c4lc8xruh0rdlv0n2kvt pool1h5uycju7n5puxn2ckfkpza550rf6jk4twr6ef0hsmxft78ajt6q pool1n3agd6rep8jw3gff684mja56ns6wqmshayu0av7hxcgx7f4pnwy pool148ajvsw7z9mhgw43tqvgmfrv22azvm638knkqghqv497xvdl2tk pool12jqfrwhuv2jn0uymwmud2d63gp5drj08fjfart9dxgpu2tmj8a0 pool1646vlaras0deljthqtfl9dpdw2xsna799l0kayyu9v44cql4ky0 pool12ql6www8aa8usn98azlkz76d2htxtm9swalvyac27rlq6mdkxc7 pool1ha70qvqwnmnwpa7e575y9tgyx47aw29rvkz73mnf42z5wet5dr3 pool1v9gqa6n4em4aly7ew2trvhgrath4mrsp9tyc290l638nvqs5aej pool1cx8njhvw34weqykla5fz38ngt3dr4d0ltv0srqjqa8ugzap937l pool1kp0wl7kxn0zt5xtmld72s98rv6ejpufvl39qk26h99nqshmkmge pool1e827fy8efd7n9zacdknhtr2n5rqmry5up05mqgqsjkmmzjmzrf3 pool1sr82s7yvwwsy6q0geveawrglt8ss39jhsfz7d0p4a5y6kk30mdd pool1ygamv2t9lw03khcxpe75rjd4p8lnn36hux3deeg3hrc3jwrx43z pool1gctelcfktanxhqfjw88vjp9v0ayumd6lr3re38pjw3kvvc8tanq pool1867sv2tgcq2cjmyhqgsfveekmsy5zksld69zhgrlkluukfydq29 pool1ge06eu8lvdj6jakxw8zuwj3yxtpmeek8j8rgwqfshj7vg390fj0 pool18w4dzpe8wtkx29scf74qmshrf58xg760mcxu5p7s0azxufwwgec pool1q3snnww4ggayr8hd6gd83ypx982yhwlhywlcew7yxq46jzyst2g pool10pktmr26fpvrt77j7m5mchqlt0mjmmfvt7ruvdewkcpasp0nzkl pool1v8lgn85mfvj0hhslfjz2u0nut43ahkhuzhfcm5aexjkewn8krle pool1x5ge78ks6jc0j8nsfwyqqhk2ukxlkvz7zxlm9utgk6405hh490n pool1j0j39t2dfmkflfnvresds8vlfhwg75qwufa95u55nw376ky29r8 pool1y9xftc4cq0svcv0gjdtusnvllrg5v5rn0d24g8r4m7tnsem6ve8 pool19r4ef6n0xkw3pvztuwd44ymrzrkylyralnf5rudnc7hnvvddyqz pool172fsazvg6zrpkj7c8wklsp7lrn5yxjvhru4enddvvfnyx343dyc pool1szgruqm2dlhkh5qh7rft28xz9gkxj6rzfncsuquf3vm37k63kqv pool1pmknsy9yqh06fpmduf8vzcvkzpllygjj8uzkjccgvewtq9uc53k pool1q4l2wpswlanqszppj4tcvgw4j9wdjmadqky57dq0wqhg5tmhsxn pool1hfxjswx4wnpfmdad660hvzx4knjhf32uwgg6wgsnqp98x9zz927 pool1t5zgwakxfmqxgu7l65fk45u33frlqrvgsvzn7demdy0ejgrhq9a pool1kcw2kqj27qe7ntsz9fhvyvyvpf7prclwc5jq4cw0qydh7cygcek pool1tjaz8a62743k5tzdd8lyd0sgf2lcvtk09jsz9etvas82zdamc2q
dns:r1.1percentpool.eu,dns,28,246825816,10901,1PCT0 1PCT2 1PCT7 1PCT9 1PCT3 1PCT3 1PCT8 1PCT4 1PCT1 1PCT0 1PCT5 1PCT1 1PCT4 1PCT 1PCT6 1PCT8 1PCT6 1PCT3 1PCT6 1PCT2 1PCT5 1PCT2 1PCT7 1PCT9 1PCT 1PCT5 1PCT1 1PCT4,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n pool1g0nq3m3fnvd245k4favcvutn09vce0yshg535f68d2xa54vy0cc pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp pool1vnsfv2qpt5gxte9prupjey8kw7ap7t6c8lc02ks4s3gtqplhgd3 pool1uzla0r73fvpnvxr07m98nfzlxcv3q26mkjz00cqjfh7uqsyjkju pool1g8y2gz4sk7xhyaj469jlj3njyu5dlvqa7t7v9c2gk0yc69879z8 pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd pool1s3z5qsg75dar26ykyzcz2u8wc2swgq7pyp7f9sdh5n06qh3jhq2 pool17qvfg2g843gw6lurru282kkex6vp3pyj6zwj99j4u6k7zvmva5a pool1supp67ypelmgzuzqqvarc6czgmg3ggwpnrnfr90xpfcqqf8h05t pool1nyf8x2xrlmfqwy9shqrlx2csentnzyjmxr0r3w0ljuaqz5ek7qz pool1e4tjrl3ve7dcqwa70pexds6f8llk0txx09gm3r4m472ej4p6473 pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v pool1dww6s8stvm7dl2n8740s3v5rnxmsuqcl8jcnu64g7cds5w29pft pool18mege8wvzzdvh8cxx6ncnqyvacl4lxukw495c87xmz8qcdl6lj8 pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv pool1ayfjmnrv5vg6tfducvysn360re6qfwuv2rhc4ph6jk33ztuxlhq pool1w4am4s9w4gkt8r0245km62vtnnv9hhq6j68exzh2pyaxxfaq0gc pool18zn7wa345uytjgds9hypn3jugnzqtfm4cny7anskkcmgwwxtwca pool1yl76e0fhq0kcfy2jqs2mt6hl9xeyrnesehqp0p4s896lwv7hrta pool1qdjx5xeeu6288ftmhmdr0c6mazkua7m07cydmr78ymfhz7jj7g4 pool15xgej4c7ns20y5pt7dc5vq6yj87ss5sl2ffucmh5j766j90ppur pool1zmtm8yef7725p9n7x433m50kvv9xpzjujnny9m5t960g5qm30ua pool15a04yc72q4tfkwaweu86l0764urswee8c3zxperyrdq4kx8nvua
dns:r2.1percentpool.eu,dns,28,246825816,10901,1PCT0 1PCT2 1PCT7 1PCT9 1PCT3 1PCT3 1PCT8 1PCT4 1PCT1 1PCT0 1PCT5 1PCT1 1PCT4 1PCT 1PCT6 1PCT8 1PCT6 1PCT3 1PCT6 1PCT2 1PCT5 1PCT2 1PCT7 1PCT9 1PCT 1PCT5 1PCT1 1PCT4,pool1gclysx2h7fndj0jdajlmwvqr8q9tzu3rurjknacu0ff954fsg9a pool1z7n2ruhmxmv77f6cqhd3wsy6774h2wuay77agxuf2y9mj8q55vw pool1w8ham64lthvzzxzn5hknq4yrj8xt2nark409s2xmntlwvt4ag3r pool1kkfkdces5mdcyc9dn2hgg3463jggjvw3h89nejjarkz25uavaqu pool12mmcc4rc2fzfv7gyv8h06nvnsrm3m7erzdv8x6gzvjxlu2lf09n pool1g0nq3m3fnvd245k4favcvutn09vce0yshg535f68d2xa54vy0cc pool1ddgcpgjcyawxw95se9x8qnc8gxgwjr4fqrk4vk6v9x47s0ggpjp pool1vnsfv2qpt5gxte9prupjey8kw7ap7t6c8lc02ks4s3gtqplhgd3 pool1uzla0r73fvpnvxr07m98nfzlxcv3q26mkjz00cqjfh7uqsyjkju pool1g8y2gz4sk7xhyaj469jlj3njyu5dlvqa7t7v9c2gk0yc69879z8 pool1rkyc3ss904h066sffergss99r9p2kqa4k6ds0g4u5ud4x7yaajd pool1s3z5qsg75dar26ykyzcz2u8wc2swgq7pyp7f9sdh5n06qh3jhq2 pool17qvfg2g843gw6lurru282kkex6vp3pyj6zwj99j4u6k7zvmva5a pool1supp67ypelmgzuzqqvarc6czgmg3ggwpnrnfr90xpfcqqf8h05t pool1nyf8x2xrlmfqwy9shqrlx2csentnzyjmxr0r3w0ljuaqz5ek7qz pool1e4tjrl3ve7dcqwa70pexds6f8llk0txx09gm3r4m472ej4p6473 pool1ua0lx5ap5tj9f5l7tyjflp766ca5yu93djh5hqvm4e0kjgw5k7v pool1dww6s8stvm7dl2n8740s3v5rnxmsuqcl8jcnu64g7cds5w29pft pool18mege8wvzzdvh8cxx6ncnqyvacl4lxukw495c87xmz8qcdl6lj8 pool1258yqnsegc3k7raqcdkxu4893aqexxljflmg9g96yfha2qytayv pool1ayfjmnrv5vg6tfducvysn360re6qfwuv2rhc4ph6jk33ztuxlhq pool1w4am4s9w4gkt8r0245km62vtnnv9hhq6j68exzh2pyaxxfaq0gc pool18zn7wa345uytjgds9hypn3jugnzqtfm4cny7anskkcmgwwxtwca pool1yl76e0fhq0kcfy2jqs2mt6hl9xeyrnesehqp0p4s896lwv7hrta pool1qdjx5xeeu6288ftmhmdr0c6mazkua7m07cydmr78ymfhz7jj7g4 pool15xgej4c7ns20y5pt7dc5vq6yj87ss5sl2ffucmh5j766j90ppur pool1zmtm8yef7725p9n7x433m50kvv9xpzjujnny9m5t960g5qm30ua pool15a04yc72q4tfkwaweu86l0764urswee8c3zxperyrdq4kx8nvua
dns:cardano-relay-1.upbit.com,dns,20,643076698,27,UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT,pool1sjnh0ymk9fhhnusm7uksux5yhpfyhjfmseq5nuupsj6ezskc0pj pool1ek9pyk0xwjelrw7uqktvjwqj8wlcqqftjxqeq3t2vffw7qm8efs pool1k2224hj6uhdgkflj6ncqvmfhqvhlhj0t8crhqux5mphwwumupec pool1wthsvhhxueqfd9eqjdj8pgyprhr4gptn5g63z9rdrtelcfumnvg pool1hnaps49hfe3uljp4cleu4amhes6wvatufyvgt2tjdtj3xjrgknk pool1ua5exfeju4jc95yy595cykjh4x46998g8hrrvw2v5h9k7987a44 pool1r9kse9x8ja0ajkyw8w96zw5c2aqeey6j85nmyqxhwt0rs090fu4 pool1cp4q7w2jvlthul9mlskj6xutx9rdr7n4vruqqe09pfg5ywmzdzq pool13z9mfsve9w39sl5akgz58yewad9daycxn8ja426ytdxey47yatu pool13t8yafhx3mfnxs8nnkvgqnm9v5gspk7cdjc5dmpzpt0a6h294yn pool1hnukelq3ap6pj3wnetj448efj4nalngy756jln9zd2mjsp73etg pool1859zslu3scj23wxcamw0slkhn80waxwkdl4k8k0asyw7sfa8dv5 pool1fgp4f4afdrq26axqlnm80fz49hdkyq4am3ca3r33w0w8sw2x8ap pool13mxx49xrq4hp6mca8qrzxxmjhfrts0ayh5n6ff9uyuusq9cx4d8 pool1jldj0znj8rltkuj4sumqq5z6p8sdt3yk4qde90q42daru5kgfl6 pool1j6jnnxsngexalq60tqnvn2muge7vevd5ukc0unacr4432t4lr28 pool19egsg4esywdpq8lk5e0r4c8se3mx6k68de2pt2d0fnrs7jntp6m pool1p6t3cglz78w32telly44te3d5l30zc0f0mprhehm6jus59m9aaa pool1ds25hy480zcnzjwzr4eef28j85lvpm4mq9qm55vr4mqr5h3l68y pool1ktqaf79utweyenk6e7289ta5p5993g32emn8355rxmp0kgh2r0m
dns:cardano-relay-2.upbit.com,dns,20,643076698,27,UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT,pool1sjnh0ymk9fhhnusm7uksux5yhpfyhjfmseq5nuupsj6ezskc0pj pool1ek9pyk0xwjelrw7uqktvjwqj8wlcqqftjxqeq3t2vffw7qm8efs pool1k2224hj6uhdgkflj6ncqvmfhqvhlhj0t8crhqux5mphwwumupec pool1wthsvhhxueqfd9eqjdj8pgyprhr4gptn5g63z9rdrtelcfumnvg pool1hnaps49hfe3uljp4cleu4amhes6wvatufyvgt2tjdtj3xjrgknk pool1ua5exfeju4jc95yy595cykjh4x46998g8hrrvw2v5h9k7987a44 pool1r9kse9x8ja0ajkyw8w96zw5c2aqeey6j85nmyqxhwt0rs090fu4 pool1cp4q7w2jvlthul9mlskj6xutx9rdr7n4vruqqe09pfg5ywmzdzq pool13z9mfsve9w39sl5akgz58yewad9daycxn8ja426ytdxey47yatu pool13t8yafhx3mfnxs8nnkvgqnm9v5gspk7cdjc5dmpzpt0a6h294yn pool1hnukelq3ap6pj3wnetj448efj4nalngy756jln9zd2mjsp73etg pool1859zslu3scj23wxcamw0slkhn80waxwkdl4k8k0asyw7sfa8dv5 pool1fgp4f4afdrq26axqlnm80fz49hdkyq4am3ca3r33w0w8sw2x8ap pool13mxx49xrq4hp6mca8qrzxxmjhfrts0ayh5n6ff9uyuusq9cx4d8 pool1jldj0znj8rltkuj4sumqq5z6p8sdt3yk4qde90q42daru5kgfl6 pool1j6jnnxsngexalq60tqnvn2muge7vevd5ukc0unacr4432t4lr28 pool19egsg4esywdpq8lk5e0r4c8se3mx6k68de2pt2d0fnrs7jntp6m pool1p6t3cglz78w32telly44te3d5l30zc0f0mprhehm6jus59m9aaa pool1ds25hy480zcnzjwzr4eef28j85lvpm4mq9qm55vr4mqr5h3l68y pool1ktqaf79utweyenk6e7289ta5p5993g32emn8355rxmp0kgh2r0m
dns:cardano-relay-3.upbit.com,dns,20,643076698,27,UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT UPBIT,pool1sjnh0ymk9fhhnusm7uksux5yhpfyhjfmseq5nuupsj6ezskc0pj pool1ek9pyk0xwjelrw7uqktvjwqj8wlcqqftjxqeq3t2vffw7qm8efs pool1k2224hj6uhdgkflj6ncqvmfhqvhlhj0t8crhqux5mphwwumupec pool1wthsvhhxueqfd9eqjdj8pgyprhr4gptn5g63z9rdrtelcfumnvg pool1hnaps49hfe3uljp4cleu4amhes6wvatufyvgt2tjdtj3xjrgknk pool1ua5exfeju4jc95yy595cykjh4x46998g8hrrvw2v5h9k7987a44 pool1r9kse9x8ja0ajkyw8w96zw5c2aqeey6j85nmyqxhwt0rs090fu4 pool1cp4q7w2jvlthul9mlskj6xutx9rdr7n4vruqqe09pfg5ywmzdzq pool13z9mfsve9w39sl5akgz58yewad9daycxn8ja426ytdxey47yatu pool13t8yafhx3mfnxs8nnkvgqnm9v5gspk7cdjc5dmpzpt0a6h294yn pool1hnukelq3ap6pj3wnetj448efj4nalngy756jln9zd2mjsp73etg pool1859zslu3scj23wxcamw0slkhn80waxwkdl4k8k0asyw7sfa8dv5 pool1fgp4f4afdrq26axqlnm80fz49hdkyq4am3ca3r33w0w8sw2x8ap pool13mxx49xrq4hp6mca8qrzxxmjhfrts0ayh5n6ff9uyuusq9cx4d8 pool1jldj0znj8rltkuj4sumqq5z6p8sdt3yk4qde90q42daru5kgfl6 pool1j6jnnxsngexalq60tqnvn2muge7vevd5ukc0unacr4432t4lr28 pool19egsg4esywdpq8lk5e0r4c8se3mx6k68de2pt2d0fnrs7jntp6m pool1p6t3cglz78w32telly44te3d5l30zc0f0mprhehm6jus59m9aaa pool1ds25hy480zcnzjwzr4eef28j85lvpm4mq9qm55vr4mqr5h3l68y pool1ktqaf79utweyenk6e7289ta5p5993g32emn8355rxmp0kgh2r0m
dns:cardano-relays-1.nu.fi,dns,17,281967278,39448,NUFID NUFIE NUFI NUFI7 NUFIB NUFI9 NUFI5 NUFI1 NUFIA NUFI2 NUFI6 NUFI3 NUFI8 NUFI0 NUFI4 NUFIC NUFIH,pool15d62znf04qymt6ve536tt5y9ky979ly4um5zmgz9m850vu7wuv7 pool1f8erepj5w5nth5xfxgxnwpz59jzywt6zdwfr50jzjwfwksmg9ek pool1qnrqc7zpwye2r9wtkayh2dryvfqs7unp99f2039duljrsaffq5c pool16hs0jxw7h6pwg3ru7rcq3yvg4csj7lhmcpj68kqem2sh5nt8mwk pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq pool1fqwnqk3phwa2s5thgym8dw34pv0z67m526uqprnjh93cvzxymef pool1jdhjfcu34lq88rypdtslzwyf27uh0h3apcr9mjd68zhc69r29fy pool1caulv7s08g0jnptzdc69qycptacu7fzahny2epzh7sh9vhqz6xz pool1uhy50u9y76nd6z2xmzt3mta0yc7g3gdssef8lheyyg7zzymgzm8 pool1ecvcst7k9eul4ggnljh0jw2s5nc2tyfmyzsx3xg3kmmz6ptgfwj pool1ea568m9q882n0tx5d4vxff2dmz2n7rq5h62hx5ystq625m4tcfu pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0 pool1q0a7a94cfk4ph7gugj636tsuhhd98l2sfjv2adhaff2mvs7kmtl pool15r7xg0vrrv2yu8wj3866eap8ftkuxvdk5rjz2lh4xajjq5v3p5d pool167zl76srpt5a2gthpsq0ye9z4fpray5vsh7xyzcn63hd5mnw7fa pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn pool1ye4zrxf0w7d7drq5wmat36dlzq270dxy9rhgcwufnaja644vwr9
dns:cardano-relays-2.nu.fi,dns,17,281967278,39448,NUFID NUFIE NUFI NUFI7 NUFIB NUFI9 NUFI5 NUFI1 NUFIA NUFI2 NUFI6 NUFI3 NUFI8 NUFI0 NUFI4 NUFIC NUFIH,pool15d62znf04qymt6ve536tt5y9ky979ly4um5zmgz9m850vu7wuv7 pool1f8erepj5w5nth5xfxgxnwpz59jzywt6zdwfr50jzjwfwksmg9ek pool1qnrqc7zpwye2r9wtkayh2dryvfqs7unp99f2039duljrsaffq5c pool16hs0jxw7h6pwg3ru7rcq3yvg4csj7lhmcpj68kqem2sh5nt8mwk pool104avq7309gjm0fxms69yqusxy8zf888k4mamngg5vnc6vculpzq pool1fqwnqk3phwa2s5thgym8dw34pv0z67m526uqprnjh93cvzxymef pool1jdhjfcu34lq88rypdtslzwyf27uh0h3apcr9mjd68zhc69r29fy pool1caulv7s08g0jnptzdc69qycptacu7fzahny2epzh7sh9vhqz6xz pool1uhy50u9y76nd6z2xmzt3mta0yc7g3gdssef8lheyyg7zzymgzm8 pool1ecvcst7k9eul4ggnljh0jw2s5nc2tyfmyzsx3xg3kmmz6ptgfwj pool1ea568m9q882n0tx5d4vxff2dmz2n7rq5h62hx5ystq625m4tcfu pool1jg3fmnmc9n52sgzslhhvhye5e3xeqmrwkekdhh82sma47r47zg0 pool1q0a7a94cfk4ph7gugj636tsuhhd98l2sfjv2adhaff2mvs7kmtl pool15r7xg0vrrv2yu8wj3866eap8ftkuxvdk5rjz2lh4xajjq5v3p5d pool167zl76srpt5a2gthpsq0ye9z4fpray5vsh7xyzcn63hd5mnw7fa pool1chtam5czevzk2ttctvltpsc8twlwf6zzyh7kj3jkz72gks975sn pool1ye4zrxf0w7d7drq5wmat36dlzq270dxy9rhgcwufnaja644vwr9
dns:cardano-main2.everstake.one,dns,15,631169630,267342,EVE6 EVE7 EVE8 RSTK EVRST EVE1 VRSTK EVE2 EVE EVE4 EVERS EVE3 ESTK EVE5 EVE9,pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87 pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7 pool14f58kf59ec7ymk7mm5w07advfgs6a2guur3g5zyf45uvyvl80t4 pool1xflehvzad4wr6rrvf6eea65jst5af0r4k0rh4xvmnqgvkzt3xjt
dns:cardano-main.everstake.one,dns,15,631169630,267342,EVE6 EVE7 EVE8 RSTK EVRST EVE1 VRSTK EVE2 EVE EVE4 EVERS EVE3 ESTK EVE5 EVE9,pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87 pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7 pool14f58kf59ec7ymk7mm5w07advfgs6a2guur3g5zyf45uvyvl80t4 pool1xflehvzad4wr6rrvf6eea65jst5af0r4k0rh4xvmnqgvkzt3xjt
dns:cardano-relay1.everstake.one,dns,15,631169630,267342,EVE6 EVE7 EVE8 RSTK EVRST EVE1 VRSTK EVE2 EVE EVE4 EVERS EVE3 ESTK EVE5 EVE9,pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87 pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7 pool14f58kf59ec7ymk7mm5w07advfgs6a2guur3g5zyf45uvyvl80t4 pool1xflehvzad4wr6rrvf6eea65jst5af0r4k0rh4xvmnqgvkzt3xjt
dns:cardano-relay2.everstake.one,dns,15,631169630,267342,EVE6 EVE7 EVE8 RSTK EVRST EVE1 VRSTK EVE2 EVE EVE4 EVERS EVE3 ESTK EVE5 EVE9,pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87 pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7 pool14f58kf59ec7ymk7mm5w07advfgs6a2guur3g5zyf45uvyvl80t4 pool1xflehvzad4wr6rrvf6eea65jst5af0r4k0rh4xvmnqgvkzt3xjt
dns:cardano-relay.everstake.one,dns,14,631072137,267320,EVE6 EVE7 EVE8 RSTK EVRST EVE1 VRSTK EVE2 EVE EVE4 EVERS EVE3 ESTK EVE9,pool1sysgx87cwxnqy0pqn8g97gdhd0dmre9rw3jvpn2k7apuwa7cgkn pool1n0uxgs5qfk5n9xl7qvq9jt8zuu02cntrsjnjayjlqtejyffnemj pool13rt3ngkek4l876980ect869cu978d36dcyh22ts4nwuf7ncq02u pool1zgxvcqf0dvh0ze56ev2ayjvuex3zdd3hgxzdrcezkx497mv3l7s pool14skj6e4rpjanzclx3fc880xnl8xafgg63tmw93t9xspvwx985qu pool1uj4u73qgtprqre78q75fq2vkcrpfrcdreqcqkvn6u0m2k6nk2yp pool1g3ssnndd8e7lcmstkjl9ane9mup0eshv3aklg63u5tznwl4ch87 pool1ng3vqzrhn3z45yjdscv3q37n26g2pj3vp99rfkgv6225y8lqg8j pool1ynxx88cq0y8vg8yrq3jrw6epm7rq9a8859v34sq9lzjy7ztg90u pool1ywpt43nttzjd7883wafg255mh0hmjypwe65ercw6p2sxg5lt7ez pool12l453n0jtxqq88cgwgr67z06ldyhqqvwxgkn0sgungjfvhtp2el pool1xmsdhync6k6grkkj7tuycskjpseykpr24luhlazl5nsngsy87gm pool1jst7rrhucnp93hepezv5yqy6fx982xs2v0udwfc5ea6my3kfak7 pool1xflehvzad4wr6rrvf6eea65jst5af0r4k0rh4xvmnqgvkzt3xjt
